drug_name,drug_idx
halofantrine,575
haloperidol,576
hemin,577
heparin,578
hepatitis,579
hetastarch,580
hexachlorophene,581
hexamethylmelamine,582
hexaminolevulinate,583
histamine,584
histrelin,585
hmdp,586
hoe,587
homatropine,588
humalog,589
hydralazine,590
hydrochlorothiazide,591
hydrocodone,592
hydrocortisone,593
hydroflumethiazide,594
hydromorphone,595
hydroxocobalamin,596
hydroxybutyrate,597
hydroxychloroquine,598
hydroxyl,599
hydroxypropyl,600
hydroxyurea,601
hydroxyzine,602
ibandronate,603
ibuprofen,604
ibutilide,605
ici,606
icodextrin,607
idarubicin,608
idurd,609
ifosfamide,610
iloperidone,611
iloprost,612
imatinib,613
imipramine,614
imiquimod,615
implanon,616
indacaterol,617
indapamide,618
indinavir,619
indomethacin,620
insulin,621
iodide,622
iodipamide,623
iodixanol,624
iohexol,625
iopamidol,626
iopromide,627
iotrolan,628
ioversol,629
ioxaglate,630
ioxilan,631
ipratropium,632
irbesartan,633
irbesartan-hydrochlorothiazide,634
irinotecan,635
iron,636
isocarboxazid,637
isoflurane,638
isomannide,639
isoniazid,640
isopropyl,641
isoproterenol,642
isosorbide,643
isosorbide-5-mononitrate,644
isosulfan,645
isoxsuprine,646
isradipine,647
itraconazole,648
ivabradine,649
ivacaftor,650
ivermectin,651
ixabepilone,652
k779,653
kaluril,654
kanamycin,655
ketamine,656
ketoconazole,657
ketoprofen,658
ketorolac,659
ketotifen,660
l-dmp,661
l-threo-dops,662
labetalol,663
lacosamide,664
lactate,665
lactulose,666
lamivudine,667
lamotrigine,668
lanreotide,669
lansoprazole,670
lanthanum,671
lantus,672
lapatinib,673
lasofoxifene,674
latanoprost,675
leflunomide,676
lenalidomide,677
lercanidipine,678
letrozole,679
leucovorin,680
leuprorelin,681
levetiracetam,682
levobunolol,683
levocabastine,684
levodopa/carbidopa,685
levomepromazine,686
levonorgestrel,687
levosimendan,688
lidocaine,689
linaclotide,690
linagliptin,691
lincomycin,692
lindane,693
linezolid,694
lioh,695
liraglutide,696
lisdexamfetamine,697
lisinopril,698
lisuride,699
lithium,700
lmwh,701
locorten,702
lodoxamide,703
lomefloxacin,704
lomitapide,705
lomustine,706
loperamide,707
loratadine,708
lorazepam,709
lorcaserin,710
lormetazepam,711
losartan,712
loteprednol,713
lovastatin,714
lovaza,715
loxapine,716
lu,717
lubiprostone,718
luliconazole,719
lurasidone,720
lutalyse,721
ly146032,722
lymecycline,723
lyxumia,724
macitentan,725
madopar,726
mafenide,727
magnesium,728
malathion,729
malvidin,730
mannitol,731
maprotiline,732
maraviroc,733
mdv3100,734
mebendazole,735
mebeverine,736
mebrofenin,737
mecamylamine,738
meclofenamate,739
medroxyprogesterone,740
medrysone,741
mefenamic,742
mefloquine,743
megestrol,744
melatonin,745
meloxicam,746
melphalan,747
memantine,748
meperidine,749
mephenytoin,750
mepivacaine,751
meprobamate,752
meropenem,753
mersyndol,754
mesna,755
metaiodobenzylguanidine,756
metaproterenol,757
metaxalone,758
metformin,759
methacholine,760
methadone,761
methamphetamine,762
methazolamide,763
methenamine,764
methimazole,765
methocarbamol,766
methohexital,767
methotrexate,768
methsuximide,769
methyclothiazide,770
methyl,771
methyldopa,772
methylene,773
methylergometrine,774
methylnaltrexone,775
methylphenidate,776
methylprednisolone,777
methyltestosterone,778
methysergide,779
metipranolol,780
metoclopramide,781
metolazone,782
metoprolol,783
metrodin,784
metronidazole,785
metyrapone,786
mexiletine,787
mianserin,788
miconazole,789
midazolam,790
midodrine,791
mifepristone,792
miglitol,793
miglustat,794
milnacipran,795
milrinone,796
minocycline,797
minoxidil,798
mipomersen,799
mirabegron,800
mirtazapine,801
misoprostol,802
mitomycin,803
mitotane,804
mitoxantrone,805
mivacurium,806
mk-462,807
mndpdp,808
moclobemide,809
modafinil,810
moexiprilat,811
molindone,812
mometasone,813
monamine,814
monobenzone,815
monoethanolamine,816
monomethylfumarate,817
monomycin,818
montelukast,819
morphine,820
moxifloxacin,821
moxonidine,822
mthpc,823
mupirocin,824
mycophenolate,825
mycophenolic,826
n-3,827
n-acetylcysteine,828
n-carbamylglutamate,829
n-methylscopolamine,830
nabilone,831
nabumetone,832
nadolol,833
nafarelin,834
nafcillin,835
naftifine,836
nalbuphine,837
nalidixic,838
nalmefene,839
naloxone,840
naltrexone,841
nandrolone,842
naphazoline,843
naproxen,844
naratriptan,845
natamycin,846
nateglinide,847
nebivolol,848
nedocromil,849
nefazodone,850
nefopam,851
nelarabine,852
nelfinavir,853
neomycin,854
neostigmine,855
nepafenac,856
nesiritide,857
nevirapine,858
niacin,859
nicardipine,860
nicorandil,861
nicotine,862
nifedipine,863
nilotinib,864
nilutamide,865
nimodipine,866
nisoldipine,867
nitazoxanide,868
nitrazepam,869
nitric,870
nitrite,871
nitrofurantoin,872
nitrogen,873
nitroglycerin,874
nitroprusside,875
nitrous,876
nizatidine,877
norepinephrine,878
norethisterone,879
norfloxacin,880
nortriptyline,881
novolog,882
nsc,883
ntbc,884
nuvaring,885
nuvocid,886
nystatin,887
o291,888
ocrh,889
octreotide,890
oestrogen,891
ofatumumab,892
ofloxacin,893
ogen,894
olanzapine,895
olmesartan,896
olodaterol,897
olopatadine,898
olsalazine,899
omeprazole,900
ondansetron,901
optison,902
org,903
orlistat,904
orphenadrine,905
oseltamivir,906
ospemifene,907
oxacillin,908
oxaliplatin,909
oxandrolone,910
oxaprozin,911
oxazepam,912
oxcarbazepine,913
oxiconazole,914
oxprenolol,915
oxybutynin,916
oxycodone,917
oxymetholone,918
oxymorphone,919
oxytetracycline,920
oxytocin,921
p-aminohippurate,922
paclitaxel,923
paliperidone,924
palonosetron,925
pamidronate,926
pancuronium,927
pantoprazole,928
papaverine,929
paraldehyde,930
parecoxib,931
paricalcitol,932
paromomycin,933
paroven,934
paroxetine,935
pazopanib,936
pci-32765,937
pegaptanib,938
pemetrexed,939
pemirolast,940
penbutolol,941
penciclovir,942
penicillin,943
pentamidine,944
pentastarch,945
pentazocine,946
pentobarbital,947
pentosan,948
pentostatin,949
pentoxifylline,950
pep005,951
perampanel,952
pergolide,953
perhexiline,954
perindopril,955
perindoprilat,956
permethrin,957
perphenazine,958
pertechnetate,959
pge1,960
pge2,961
phencyclidine,962
phendimetrazine,963
phenelzine,964
phenobarbital,965
phenoxybenzamine,966
phentermine,967
phentolamine,968
phenylazo,969
phenylbutyric,970
phenylephrine,971
phenyllactate,972
phenylpropanolamine,973
phenytoin,974
phosphate,975
photofrin,976
physostigmine,977
pilocarpine,978
pimecrolimus,979
pimozide,980
pinaverium,981
pindolol,982
pioglitazone,983
piperacillin,984
pirbuterol,985
pirfenidone,986
piroxicam,987
pitavastatin,988
pixantrone,989
pizotifen,990
podophyllotoxin,991
poly(styrene,992
polymyxin,993
polyoxyethylene,994
polythiazide,995
pomalidomide,996
ponatinib,997
posaconazole,998
potassium,999
pralatrexate,1000
pralidoxime,1001
pramipexole,1002
prasugrel,1003
pravastatin,1004
praziquantel,1005
prazosin,1006
prednefrin,1007
prednicarbate,1008
prednisolone,1009
prednisone,1010
pregabalin,1011
prilocaine,1012
primaquine,1013
primidone,1014
probenecid,1015
procainamide,1016
procaine,1017
procarbazine,1018
prochlorperazine,1019
progesterone,1020
proguanil,1021
promacta,1022
promethazine,1023
propafenone,1024
propantheline,1025
proparacaine,1026
propericiazine,1027
propofol,1028
propoxyphene,1029
propranolol,1030
propylthiouracil,1031
prostacyclin,1032
prostaglandin,1033
protirelin,1034
protriptyline,1035
prucalopride,1036
prussian,1037
pyrantel,1038
pyrazinamide,1039
pyridostigmine,1040
pyridoxine,1041
pyrimethamine,1042
quazepam,1043
quetiapine,1044
quinapril,1045
quinaprilat,1046
quinidine,1047
quinol,1048
rabeprazole,1049
radium,1050
raloxifene,1051
raltegravir,1052
raltitrexed,1053
ramelteon,1054
ramipril,1055
ramiprilat,1056
ranitidine,1057
ranolazine,1058
rapamycin,1059
rasagiline,1060
rasburicase,1061
reboxetine,1062
refludan,1063
regadenoson,1064
regorafenib,1065
remifentanil,1066
repaglinide,1067
rescinnamine,1068
reserpine,1069
retapamulin,1070
retigabine,1071
retinoic,1072
retinol,1073
revasc,1074
ribavirin,1075
rifabutin,1076
rifampicin,1077
rifapentine,1078
rifaximin,1079
rilpivirine,1080
riluzole,1081
rimantadine,1082
rimexolone,1083
rimonabant,1084
riociguat,1085
risedronate,1086
risperidone,1087
ritonavir,1088
rivaroxaban,1089
rivastigmine,1090
rizatriptan,1091
rocuronium,1092
rofecoxib,1093
roflumilast,1094
romidepsin,1095
ropinirole,1096
ropivacaine,1097
rosiglitazone,1098
rosuvastatin,1099
rotigotine,1100
roxithromycin,1101
rufinamide,1102
ruxolitinib,1103
s-benzoylmercaptoacetyltriglycine,1104
sacrosidase,1105
salbutamol,1106
salicylate,1107
salmeterol,1108
salmon,1109
salsalate,1110
samarium,1111
saquinavir,1112
sativex,1113
saxagliptin,1114
scopolamine,1115
secobarbital,1116
selenium,1117
sertaconazole,1118
sertraline,1119
sevelamer,1120
sevoflurane,1121
sibutramine,1122
signifor,1123
sildenafil,1124
silodosin,1125
silver,1126
simvastatin,1127
sitagliptin,1128
sitaxsentan,1129
sodium,1130
sofosbuvir,1131
solifenacin,1132
som230,1133
sonovue,1134
sorafenib,1135
sotalol,1136
sparfloxacin,1137
spectinomycin,1138
spinosad,1139
spironolactone,1140
stalevo,1141
stavudine,1142
stiripentol,1143
streptomycin,1144
streptozotocin,1145
strontium,1146
su5416,1147
succinylcholine,1148
sufentanil,1149
sugammadex,1150
sulconazole,1151
sulfacetamide,1152
sulfadiazine,1153
sulfamethoxazole,1154
sulfasalazine,1155
sulfonamide,1156
sulindac,1157
sumatriptan,1158
sunitinib,1159
supremon,1160
suprofen,1161
suvorexant,1162
symlin,1163
t-a2-3,1164
tacrolimus,1165
tadalafil,1166
tadenan,1167
tafamidis,1168
tafluprost,1169
tamoxifen,1170
tamsulosin,1171
tapentadol,1172
tasimelteon,1173
tazarotene,1174
technetium-99m,1175
teduglutide,1176
tegaserod,1177
telavancin,1178
telithromycin,1179
telmisartan,1180
temazepam,1181
temozolomide,1182
temsirolimus,1183
teniposide,1184
tenofovir,1185
tenoxicam,1186
terazosin,1187
terbinafine,1188
terbutaline,1189
terconazole,1190
terlipressin,1191
tesamorelin,1192
testolactone,1193
testosterone,1194
tetrabenazine,1195
tetracaine,1196
tetracycline,1197
tetraen,1198
tetrahydrobiopterin,1199
tetrahydrozoline,1200
tetrofosmin,1201
thalidomide,1202
theophylline,1203
thiabendazole,1204
thiamine,1205
thiazide,1206
thioridazine,1207
thiosulfate,1208
thiotepa,1209
thiothixene,1210
thymidine,1211
thyroxine,1212
tiagabine,1213
tiaprofenic,1214
tibolone,1215
ticagrelor,1216
ticlopidine,1217
tigecycline,1218
tiludronate,1219
timentin,1220
timolol,1221
tinidazole,1222
tiopronin,1223
tiotropium,1224
tipranavir,1225
tirofiban,1226
tizanidine,1227
tlcl,1228
tmc207,1229
tmc435,1230
tobramycin,1231
tofacitinib,1232
tolazamide,1233
tolbutamide,1234
tolcapone,1235
tolmetin,1236
tolterodine,1237
tolvaptan,1238
topiramate,1239
topotecan,1240
torasemide,1241
toremifene,1242
tpgs,1243
tr-700,1244
trabectedin,1245
tramadol,1246
tramazoline,1247
trametinib,1248
trandolapril,1249
trandolaprilat,1250
tranexamic,1251
trans,1252
tranylcypromine,1253
travoprost,1254
trazodone,1255
treprostinil,1256
triamcinolone,1257
triamterene,1258
triazolam,1259
triclosan,1260
trien,1261
trifluoperazine,1262
trifluorothymidine,1263
trihexyphenidyl,1264
triiodothyronine,1265
trimethadione,1266
trimethobenzamide,1267
trimethoprim,1268
trimethoprim-sulfamethoxazole,1269
trimetrexate,1270
trimipramine,1271
triphasil,1272
triptorelin,1273
tris,1274
trisequens,1275
troglitazone,1276
tropicamide,1277
tropisetron,1278
trospium,1279
trovafloxacin,1280
udca,1281
ulipristal,1282
umeclidinium,1283
unoprostone,1284
ustekinumab,1285
v,1286
vacv,1287
valdecoxib,1288
valganciclovir,1289
vallergan,1290
valproate,1291
valrubicin,1292
valsartan,1293
vancocine,1294
vandetanib,1295
vardenafil,1296
varenicline,1297
vasopressin,1298
vecuronium,1299
vemurafenib,1300
venlafaxine,1301
verapamil,1302
vernakalant,1303
verteporfin,1304
vigabatrin,1305
vilazodone,1306
vildagliptin,1307
vinblastine,1308
vincristine,1309
vinflunine,1310
vinorelbine,1311
vismodegib,1312
vitamin,1313
vitrum,1314
vorapaxar,1315
voriconazole,1316
vorinostat,1317
warfarin,1318
westcort,1319
x,1320
yttrium,1321
zafirlukast,1322
zalcitabine,1323
zaleplon,1324
zanamivir,1325
ziconotide,1326
zidovudine,1327
zidovudine/lamivudine,1328
zileuton,1329
zinc,1330
ziprasidone,1331
zncl2,1332
zoledronic,1333
zolmitriptan,1334
zolpidem,1335
zonisamide,1336
zopiclone,1337
zuclopenthixol,1338
zyprexa,1339
