drug_idx,drug_name,x,y,predicted_target_class
250,chloroquine,0.09294486,0.005485818,human_cell
251,chlorpheniramine,-1.046504,0.00032019615,bacteria
252,chlorpromazine,0.26738667,0.09846631,human_cell
253,chlorpropamide,-1.6240675,-0.0274667,fungus
254,chlorthalidone,-0.945719,0.022989899,bacteria
255,chlorzoxazone,-2.1535301,0.051256448,bacteria
256,choline,-1.1643045,0.09929515,bacteria
257,chromium,-2.5003743,0.023559645,fungus
258,ciclesonide,-0.0037984848,-0.2027975,virus
259,ciclopirox,-1.217552,-0.049761355,fungus
260,cidofovir,1.7728927,-0.35236916,virus
261,cilazapril,0.12626863,-0.13102287,virus
262,cilostazol,0.5753267,-0.18880096,virus
263,cimetidine,-0.009005308,0.114794455,bacteria
264,cinacalcet,-0.9253521,0.1217931,human_cell
265,cinoxacin,-1.9466492,0.0033879578,fungus
266,ciprofloxacin,6.1283712,0.08843595,human_cell
267,cisatracurium,-1.3908744,0.07110931,bacteria
268,cisplatin,1.5592563,-0.06020221,human_cell
269,citalopram,10.920078,0.2772953,human_cell
270,citric,-0.87923646,0.066165775,bacteria
271,cladribine,1.0500858,-0.12702307,human_cell
272,clarithromycin,1.5875366,-0.0365669,human_cell
273,clemastine,-1.3815405,-0.005887747,bacteria
274,clevidipine,-2.2535844,0.07469929,fungus
275,clindamycin,2.6505535,0.14957042,human_cell
276,clobazam,-0.32256317,-0.08175194,virus
277,clobetasol,1.5593698,-0.05700241,human_cell
278,clobetasone,-1.3902376,-0.12907013,virus
279,clocortolone,-2.327654,-0.076696455,fungus
280,clodronate,-0.4521277,-0.19944772,virus
281,clofarabine,1.7672908,0.050900698,human_cell
282,clofazimine,-0.890239,-0.16521284,virus
283,clomiphene,9.196948,1.335559,human_cell
284,clomipramine,3.789643,-0.075721145,human_cell
285,clonazepam,3.2099106,0.036266446,human_cell
286,clonidine,2.5122774,-0.11154172,human_cell
287,clopidogrel,2.4572666,-0.14856711,human_cell
288,clorazepate,-1.9264545,0.05614859,bacteria
289,clotrimazole,-1.7882509,-0.036487415,fungus
290,clozapine,2.3439062,-0.04514548,human_cell
291,cobicistat,-1.6123931,-0.0734373,fungus
292,cocaine,-2.336712,0.09779038,fungus
293,codeine,-0.25959277,0.048291624,human_cell
294,colchicine,-0.021665096,-0.03999047,virus
295,colesevelam,-1.2233193,0.010525465,bacteria
296,colestimide,-0.9928298,-0.065029174,virus
297,colestipol,-1.219399,0.037211955,bacteria
298,colestyramine,0.38981938,0.065127805,human_cell
299,colimycin,-0.17160225,0.08963291,bacteria
300,conivaptan,-0.393579,-0.019383565,human_cell
301,conjugated,0.9229996,-0.049483582,human_cell
302,copolymer,3.2276728,-0.22934702,human_cell
303,copper,-1.0043073,-0.027282491,virus
304,cortisol,1.8861129,-0.036216393,human_cell
305,cortisone,-0.7991059,0.10127383,bacteria
306,cosyntropin,-0.28210068,0.006634861,human_cell
307,crizotinib,-0.16128826,-0.052300185,virus
308,crotamiton,-2.7132044,0.064196266,fungus
309,cyanocobalamin,-1.7079399,-0.022096366,fungus
310,cyclizine,-1.2391815,-0.0028755665,bacteria
311,cyclobenzaprine,0.28164887,-0.04483463,virus
312,cyclopentolate,-0.05982113,0.12484282,human_cell
313,cyclophosphamide,5.3169947,0.20720622,human_cell
314,cyproheptadine,-1.1266325,-0.030547827,bacteria
315,cyproterone,1.7763307,0.14651899,human_cell
316,cysteamine,0.76444936,0.4283046,human_cell
317,cytarabine,3.1399,0.054403707,human_cell
318,cytokinin,-2.1754766,-0.013231769,fungus
319,d-cycloserine,-1.9529359,0.025475115,bacteria
320,d-penicillamine,1.7200863,-0.048510343,human_cell
321,d-telaprevir,-0.19623947,0.14062133,human_cell
322,dabigatran,1.5140555,0.15194643,human_cell
323,dabrafenib,1.0330884,-0.062477604,human_cell
324,dacarbazine,-0.5634303,0.22427358,bacteria
325,dalbavancin,-0.907557,0.008451223,bacteria
326,dalteparin,3.1274664,0.07519946,human_cell
327,danazol,0.57228065,0.16353501,human_cell
328,dantrolene,-0.49843168,-0.04601361,virus
329,dapagliflozin,0.5136483,0.21556926,human_cell
330,dapsone,-0.47508073,0.08457182,bacteria
331,darifenacin,-0.5096009,0.0035511404,bacteria
332,darunavir,2.6202848,-0.10962573,human_cell
333,dasatinib,3.5499256,-0.040443167,human_cell
334,deferasirox,-0.06355262,-0.13653466,virus
335,deferiprone,0.33430696,-0.057480708,virus
336,deferoxamine,1.0744817,0.08638261,human_cell
337,degarelix,-0.008096218,-0.041398287,human_cell
338,delamanid,0.86135983,0.15187666,human_cell
339,delavirdine,1.9938166,-0.29372695,virus
